Time,BC-US Actual,BC-AB Actual
2020-03-05 05:30:00,1079.7384033203125,366.9021911621094
2020-03-05 05:35:00,1065.5599365234375,351.2826232910156
2020-03-05 05:40:00,1063.7977294921875,344.5018310546875
2020-03-05 05:45:00,1015.0812377929688,346.96221923828125
2020-03-05 05:50:00,959.5186157226562,357.8014831542969
2020-03-05 05:55:00,1106.639404296875,379.94317626953125
2020-03-05 06:00:00,1246.9464111328125,386.32275390625
2020-03-05 06:05:00,1460.563232421875,365.82257080078125
2020-03-05 06:10:00,1529.13427734375,375.7227783203125
2020-03-05 06:15:00,1613.7706298828125,401.3630676269531
2020-03-05 06:20:00,1568.062255859375,423.8632507324219
2020-03-05 06:25:00,1550.6669921875,423.2025146484375
2020-03-05 06:30:00,1442.054931640625,453.22344970703125
2020-03-05 06:35:00,1387.025146484375,430.4828186035156
2020-03-05 06:40:00,1315.96435546875,451.8634033203125
2020-03-05 06:45:00,1247.548583984375,480.76324462890625
2020-03-05 06:50:00,1227.52880859375,414.9234619140625
2020-03-05 06:55:00,1148.9072265625,453.183837890625
2020-03-05 07:00:00,1094.7119140625,437.843505859375
2020-03-05 07:05:00,1029.1409912109375,392.96221923828125
2020-03-05 07:10:00,1056.5635986328125,458.8634338378906
2020-03-05 07:15:00,925.0874633789062,513.6434936523438
2020-03-05 07:20:00,938.080810546875,510.3236083984375
2020-03-05 07:25:00,928.6299438476562,519.2640991210938
2020-03-05 07:30:00,891.9453125,531.9440307617188
2020-03-05 07:35:00,824.4794311523438,539.86376953125
2020-03-05 07:40:00,837.1500854492188,512.464599609375
2020-03-05 07:45:00,721.321533203125,466.9037170410156
2020-03-05 07:50:00,646.410888671875,517.8038940429688
2020-03-05 07:55:00,480.4368896484375,523.7047729492188
2020-03-05 08:00:00,294.69183349609375,521.9044189453125
2020-03-05 08:05:00,90.02664184570312,460.80389404296875
2020-03-05 08:10:00,-45.75027847290039,488.7244873046875
2020-03-05 08:15:00,-357.619140625,514.3443603515625
2020-03-05 08:20:00,-321.6847229003906,506.6839904785156
2020-03-05 08:25:00,-308.4894714355469,520.1846923828125
2020-03-05 08:30:00,-275.0843505859375,515.3040771484375
2020-03-05 08:35:00,-289.5055847167969,515.9031982421875
2020-03-05 08:40:00,-332.1517639160156,529.5033569335938
2020-03-05 08:45:00,-278.6282958984375,528.5045776367188
2020-03-05 08:50:00,-252.66603088378906,500.58331298828125
2020-03-05 08:55:00,-214.8902130126953,452.1634216308594
2020-03-05 09:00:00,-200.74075317382812,394.0030212402344
2020-03-05 09:05:00,-44.56896209716797,292.8222351074219
2020-03-05 09:10:00,-81.89863586425781,269.5018310546875
2020-03-05 09:15:00,-145.72354125976562,285.26239013671875
2020-03-05 09:20:00,-145.48765563964844,286.8819274902344
2020-03-05 09:25:00,-149.09423828125,293.8020324707031
2020-03-05 09:30:00,-157.135986328125,294.3222351074219
2020-03-05 09:35:00,-161.15065002441406,227.12173461914062
2020-03-05 09:40:00,-255.63818359375,302.48211669921875
2020-03-05 09:45:00,-195.55430603027344,305.5225830078125
2020-03-05 09:50:00,-203.1033935546875,296.9411315917969
2020-03-05 09:55:00,-255.3066864013672,232.40184020996094
2020-03-05 10:00:00,-367.1513671875,204.96067810058594
2020-03-05 10:05:00,-385.1597900390625,215.7810821533203
2020-03-05 10:10:00,-417.4777526855469,255.34129333496094
2020-03-05 10:15:00,-301.7228088378906,168.91986083984375
2020-03-05 10:20:00,-459.83160400390625,173.18125915527344
2020-03-05 10:25:00,-436.91510009765625,149.0215606689453
2020-03-05 10:30:00,-442.32647705078125,137.54043579101562
2020-03-05 10:35:00,-491.6220703125,234.1814422607422
2020-03-05 10:40:00,-471.9480895996094,174.08091735839844
2020-03-05 10:45:00,-438.3249816894531,152.64010620117188
2020-03-05 10:50:00,-463.5396728515625,182.5002899169922
2020-03-05 10:55:00,-510.88800048828125,168.54043579101562
2020-03-05 11:00:00,-508.155029296875,181.9411163330078
2020-03-05 11:05:00,-547.1077880859375,185.4608612060547
2020-03-05 11:10:00,-526.681396484375,167.2411346435547
2020-03-05 11:15:00,-537.5044555664062,192.7213897705078
2020-03-05 11:20:00,-518.8026733398438,181.86102294921875
2020-03-05 11:25:00,-517.8389282226562,207.10166931152344
2020-03-05 11:30:00,-489.9649353027344,187.68109130859375
2020-03-05 11:35:00,-535.7799682617188,181.68211364746094
2020-03-05 11:40:00,-467.9975280761719,163.36135864257812
2020-03-05 11:45:00,-582.3920288085938,144.3409423828125
2020-03-05 11:50:00,-657.9498901367188,179.20201110839844
2020-03-05 11:55:00,-608.8759155273438,160.10064697265625
2020-03-05 12:00:00,-554.3477172851562,140.50115966796875
2020-03-05 12:05:00,-640.1085205078125,178.4220733642578
2020-03-05 12:10:00,-653.9286499023438,212.76153564453125
2020-03-05 12:15:00,-541.0689697265625,144.60081481933594
2020-03-05 12:20:00,-468.2638244628906,243.68228149414062
2020-03-05 12:25:00,-648.4041137695312,209.22174072265625
2020-03-05 12:30:00,-624.7517700195312,204.80235290527344
2020-03-05 12:35:00,-610.8352661132812,184.3819580078125
2020-03-05 12:40:00,-527.7166137695312,142.22105407714844
2020-03-05 12:45:00,-565.2726440429688,154.98159790039062
2020-03-05 12:50:00,-637.559814453125,158.48126220703125
2020-03-05 12:55:00,-661.4154663085938,172.62208557128906
2020-03-05 13:00:00,-661.2660522460938,216.68263244628906
2020-03-05 13:05:00,-599.6788330078125,185.34214782714844
2020-03-05 13:10:00,-569.2327270507812,162.76153564453125
2020-03-05 13:15:00,-558.1868896484375,202.74334716796875
2020-03-05 13:20:00,-563.3067016601562,196.04283142089844
2020-03-05 13:25:00,-507.4869079589844,158.82241821289062
2020-03-05 13:30:00,-507.4869079589844,182.44317626953125
2020-03-05 13:35:00,-493.9883728027344,164.62173461914062
2020-03-05 13:40:00,-484.7751770019531,179.68263244628906
2020-03-05 13:45:00,-445.63232421875,136.06256103515625
2020-03-05 13:50:00,-495.6458740234375,172.80287170410156
2020-03-05 13:55:00,-527.6934814453125,202.18348693847656
2020-03-05 14:00:00,-478.4865417480469,161.82225036621094
2020-03-05 14:05:00,-609.5125122070312,141.58212280273438
2020-03-05 14:10:00,-606.109619140625,166.502685546875
2020-03-05 14:15:00,-601.8898315429688,149.34197998046875
2020-03-05 14:20:00,-599.8034057617188,191.62225341796875
2020-03-05 14:25:00,-586.8587036132812,175.08193969726562
2020-03-05 14:30:00,-575.95068359375,142.98074340820312
2020-03-05 14:35:00,-556.055419921875,162.34266662597656
2020-03-05 14:40:00,-593.4359741210938,165.58212280273438
2020-03-05 14:45:00,-476.1158447265625,143.4617156982422
2020-03-05 14:50:00,-338.2953186035156,186.9824676513672
2020-03-05 14:55:00,-280.90997314453125,190.46238708496094
2020-03-05 15:00:00,-161.87518310546875,189.56256103515625
2020-03-05 15:05:00,50.17829132080078,193.74215698242188
2020-03-05 15:10:00,250.87095642089844,215.1217498779297
2020-03-05 15:15:00,335.63360595703125,228.74249267578125
2020-03-05 15:20:00,280.8548583984375,200.04232788085938
2020-03-05 15:25:00,285.4317626953125,225.00201416015625
2020-03-05 15:30:00,311.343505859375,201.40167236328125
2020-03-05 15:35:00,458.68817138671875,219.52139282226562
2020-03-05 15:40:00,424.0013427734375,190.68177795410156
2020-03-05 15:45:00,475.2786560058594,181.48074340820312
2020-03-05 15:50:00,549.7940673828125,154.64215087890625
2020-03-05 15:55:00,480.8200378417969,138.20082092285156
2020-03-05 16:00:00,407.7497253417969,206.30184936523438
2020-03-05 16:05:00,425.72515869140625,224.74301147460938
2020-03-05 16:10:00,458.64678955078125,207.42225646972656
2020-03-05 16:15:00,406.0563049316406,228.7625732421875
2020-03-05 16:20:00,633.5299072265625,196.96170043945312
2020-03-05 16:25:00,683.2269897460938,208.802001953125
2020-03-05 16:30:00,786.0372314453125,209.30116271972656
2020-03-05 16:35:00,746.3094482421875,181.9011688232422
2020-03-05 16:40:00,802.1456909179688,160.36085510253906
2020-03-05 16:45:00,737.6962280273438,166.20150756835938
2020-03-05 16:50:00,747.8240966796875,192.0016632080078
2020-03-05 16:55:00,875.1149291992188,197.82122802734375
2020-03-05 17:00:00,931.0625610351562,231.64163208007812
2020-03-05 17:05:00,882.8768310546875,191.72190856933594
2020-03-05 17:10:00,1029.4647216796875,253.2225799560547
2020-03-05 17:15:00,1054.05810546875,276.30322265625
2020-03-05 17:20:00,1023.5643920898438,323.4435119628906
2020-03-05 17:25:00,1046.72705078125,299.5429992675781
2020-03-05 17:30:00,1074.638427734375,282.4217529296875
2020-03-05 17:35:00,1121.1241455078125,244.6014862060547
2020-03-05 17:40:00,1087.7222900390625,258.2809143066406
2020-03-05 17:45:00,1059.9925537109375,263.441650390625
2020-03-05 17:50:00,1087.7369384765625,226.46170043945312
2020-03-05 17:55:00,1081.118896484375,281.96221923828125
