Date,BC-US net actual flow,BC-AB net actual flow
2020-03-23 09:50:00,-966.3646240234375,262.3035583496094
2020-03-23 09:55:00,-825.3700561523438,213.34368896484375
2020-03-23 10:00:00,-743.8253784179688,197.1841583251953
2020-03-23 10:05:00,-579.9129638671875,229.6642608642578
2020-03-23 10:10:00,-513.9601440429688,186.82431030273438
2020-03-23 10:15:00,-467.85467529296875,185.04437255859375
2020-03-23 10:20:00,-424.89715576171875,170.06495666503906
2020-03-23 10:25:00,-432.9184265136719,167.76512145996094
2020-03-23 10:30:00,-492.9777526855469,147.12464904785156
2020-03-23 10:35:00,-444.8953552246094,82.54385375976562
2020-03-23 10:40:00,-582.5748291015625,68.30338287353516
2020-03-23 10:45:00,-606.4586791992188,138.18484497070312
2020-03-23 10:50:00,-616.5341796875,123.10389709472656
2020-03-23 10:55:00,-639.7718505859375,144.22396850585938
2020-03-23 11:00:00,-678.4312744140625,167.1641082763672
2020-03-23 11:05:00,-827.8209838867188,215.62567138671875
2020-03-23 11:10:00,-800.9517211914062,180.54454040527344
2020-03-23 11:15:00,-791.922119140625,179.24505615234375
2020-03-23 11:20:00,-726.3905639648438,233.0062713623047
2020-03-23 11:25:00,-671.7722778320312,213.2653045654297
2020-03-23 11:30:00,-658.8264770507812,226.70594787597656
2020-03-23 11:35:00,-549.0389404296875,227.30508422851562
2020-03-23 11:40:00,-491.9466247558594,193.40509033203125
2020-03-23 11:45:00,-547.72900390625,247.90525817871094
2020-03-23 11:50:00,-483.7407531738281,179.90492248535156
2020-03-23 11:55:00,-409.9455261230469,182.14454650878906
2020-03-23 12:00:00,-469.7147521972656,210.7244873046875
2020-03-23 12:05:00,-529.3473510742188,210.50526428222656
2020-03-23 12:10:00,-564.9590454101562,221.1453857421875
2020-03-23 12:15:00,-551.455810546875,255.26565551757812
2020-03-23 12:20:00,-569.5198364257812,264.5260009765625
2020-03-23 12:25:00,-646.9286499023438,312.70611572265625
2020-03-23 12:30:00,-659.7125244140625,335.646240234375
2020-03-23 12:35:00,-621.6268310546875,299.8656311035156
2020-03-23 12:40:00,-610.8480834960938,351.58587646484375
2020-03-23 12:45:00,-586.3627319335938,330.80560302734375
2020-03-23 12:50:00,-464.7616271972656,191.48451232910156
2020-03-23 12:55:00,-373.531982421875,193.9248046875
2020-03-23 13:00:00,-551.0279541015625,231.585205078125
2020-03-23 13:05:00,-567.4363403320312,225.32601928710938
2020-03-23 13:10:00,-463.37481689453125,154.06478881835938
2020-03-23 13:15:00,-497.4425964355469,151.48468017578125
2020-03-23 13:20:00,-514.9224243164062,162.26461791992188
2020-03-23 13:25:00,-548.99169921875,201.60508728027344
2020-03-23 13:30:00,-582.495361328125,263.6856994628906
2020-03-23 13:35:00,-500.7803039550781,225.1651153564453
2020-03-23 13:40:00,-535.578857421875,200.6641082763672
2020-03-23 13:45:00,-504.1392822265625,185.22412109375
2020-03-23 13:50:00,-509.33123779296875,208.92465209960938
2020-03-23 13:55:00,-603.2880249023438,210.4841766357422
2020-03-23 14:00:00,-772.1253662109375,174.3040771484375
2020-03-23 14:05:00,-808.2059936523438,161.22378540039062
2020-03-23 14:10:00,-741.108154296875,135.98484802246094
2020-03-23 14:15:00,-790.4986572265625,117.48432922363281
